Rfrg_Prvdr_Geo_Lvl,Rfrg_Prvdr_Geo_Cd,Rfrg_Prvdr_Geo_Desc,BETOS_Lvl,BETOS_Cd,BETOS_Desc,HCPCS_Cd,HCPCS_Desc,Suplr_Rentl_Ind,Tot_Rfrg_Prvdrs,Tot_Suplrs,Tot_Suplr_Benes,Tot_Suplr_Clms,Tot_Suplr_Srvcs,Avg_Suplr_Sbmtd_Chrg,Avg_Suplr_Mdcr_Alowd_Amt,Avg_Suplr_Mdcr_Pymt_Amt,Avg_Suplr_Mdcr_Stdzd_Amt
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9004,"Parenteral nutrition infusion pump, portable",Y,3373,462,3910,11694,11791,788.0025655,478.9072615,382.2668408,377.8126223
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9006,"Parenteral nutrition infusion pump, stationary",Y,36,7,32,114,117,605.1773504,477.5923077,380.6896581,377.625812
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9998,Noc for enteral supplies,N,33,29,35,61,757,22.33075297,7.349630119,5.819326288,5.708520476
National,,National,Drugs and Nutritional Products,O1C,Enteral and parenteral,B9999,Noc for parenteral supplies,N,5,3,,133,616,12.63857143,11.22785714,8.982288961,8.806883117
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8510,"Busulfan; oral, 2 mg",N,26,16,24,98,2268,30.69906526,24.82799824,19.48154762,19.09719136
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8520,"Capecitabine, oral, 150 mg",N,2493,624,3535,11525,627204,13.05741349,0.73649846,0.57647794,0.56503927
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8521,"Capecitabine, oral, 500 mg",N,9489,1601,25692,113987,8604372,41.80969713,2.119955189,1.644645859,1.611957765
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8530,"Cyclophosphamide; oral, 25 mg",N,2380,837,2805,11377,750688,8.305064661,1.272543547,0.974513646,0.955235451
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8560,"Etoposide; oral, 50 mg",N,441,214,465,1448,24847,112.800425,75.73680887,60.3561762,59.1547877
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8597,"Antiemetic drug, oral, not otherwise specified",N,272,82,516,1103,246647,3.941471171,0.031996538,0.025414621,0.024905716
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8600,"Melphalan; oral, 2 mg",N,135,87,137,460,11107,13.47904655,9.609264428,7.501408121,7.35229675
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8610,"Methotrexate; oral, 2.5 mg",N,233,170,200,1025,29068,4.885178547,0.284701046,0.215420394,0.211182056
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8700,"Temozolomide, oral, 5 mg",N,3307,786,5478,25595,5135307,22.77066224,0.73218749,0.569583371,0.558252685
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8705,"Topotecan, oral, 0.25 mg",N,106,75,97,281,18677,131.9069808,99.348458,79.42399904,77.85156985
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J8999,"Prescription drug, oral, chemotherapeutic, nos",N,108,9,160,788,58727,110.5123655,3.455212253,2.747897219,2.695568308
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J9000,"Injection, doxorubicin hydrochloride, 10 mg",N,18,11,17,56,588,49.97717687,2.378078231,1.902482993,1.866666667
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J9039,"Injection, blinatumomab, 1 microgram",N,93,58,82,817,116127,468.1805186,119.8052822,95.83780964,93.97048077
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J9190,"Injection, fluorouracil, 500 mg",N,876,98,3024,20769,202705,14.26695005,1.730693274,1.361990429,1.33521847
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,J9370,"Vincristine sulfate, 1 mg",N,13,8,11,39,109,30.01009174,5.031192661,4.025688073,3.952844037
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",N,151,61,287,1502,27479,2.077897667,0.0154165,0.012130718,0.011993522
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,Q0163,"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen",N,21,5,31,118,120,1.808416667,0.273083333,0.214583333,0.214583333
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",N,38,14,81,409,1138,0.995966608,0.296344464,0.232486819,0.227671353
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,Q0166,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",N,38,4,29,569,584,12.90541096,1.610873288,1.246849315,1.224366438
National,,National,Drugs and Nutritional Products,O1D,Chemotherapy,Q0167,"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",N,19,18,20,38,1366,4.858909224,0.72261347,0.578118594,0.567166911
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J0133,"Injection, acyclovir, 5 mg",N,173,104,171,385,702972,1.013376849,0.038734004,0.030739532,0.030152268
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J0285,"Injection, amphotericin b, 50 mg",N,2,2,,12,60,227.625,42.82816667,34.26266667,33.635
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J0287,"Injection, amphotericin b lipid complex, 10 mg",N,3,3,,14,2800,22.56096429,9.395367857,7.516292857,7.365971429
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J0289,"Injection, amphotericin b liposome, 10 mg",N,56,41,46,341,39502,247.3737958,28.02038985,22.41630424,21.98961774
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J0895,"Injection, deferoxamine mesylate, 500 mg",N,107,69,102,2349,62495,49.14039907,8.192966957,6.495713897,6.366405793
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1170,"Injection, hydromorphone, up to 4 mg",N,94,43,68,674,176097,5.298537227,2.861817408,2.28305468,2.237764016
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1250,"Injection, dobutamine hydrochloride, per 250 mg",N,719,221,737,11345,158767,42.39859001,7.471056517,5.940629224,5.824291509
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1265,"Injection, dopamine hcl, 40 mg",N,23,13,18,408,24170,6.356680596,0.715969384,0.56866777,0.557299545
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1325,"Injection, epoprostenol, 0.5 mg",N,202,28,405,6234,1038951,28.5588403,16.33408897,12.94308869,12.68837633
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1455,"Injection, foscarnet sodium, per 1000 mg",N,101,57,87,612,21436,424.0942368,81.96462166,65.57172747,64.39057427
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",N,348,154,427,4294,336900,250.4471918,43.26882283,34.39918703,33.71988997
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1554,"Injection, immune globulin (asceniv), 500 mg",N,12,3,12,69,8855,628.4148571,358.4249972,286.7399966,281.3969204
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1556,"Injection, immune globulin (bivigam), 500 mg",N,31,12,39,232,17890,184.8785987,69.7763052,55.81276803,54.69650922
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",N,278,106,324,3068,238875,297.7044005,49.65285086,39.53519037,38.74942099
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1558,"Injection, immune globulin (xembify), 100 mg",N,301,88,475,4055,1706630,46.43567874,14.13469866,11.25667765,11.03374573
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1559,"Injection, immune globulin (hizentra), 100 mg",N,2125,407,4572,49340,19776662,71.1181339,11.25460425,8.982483989,8.806416197
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",N,735,250,1002,10313,790668,216.4990853,46.39365137,36.84028984,36.1135331
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",N,112,49,106,1166,91103,326.7157565,65.56493255,52.3285377,51.30243373
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",N,133,65,159,954,77140,300.6178968,41.56277742,32.38354122,31.75808297
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",N,934,253,1323,13773,1077821,239.9765271,45.43704506,36.15408497,35.44182711
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1570,"Injection, ganciclovir sodium, 500 mg",N,292,113,298,1601,11538,525.7119197,47.24310279,37.71783845,36.99786618
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1575,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",N,572,174,830,9099,3477652,76.20833101,14.74045908,11.73736071,11.50649134
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J1599,"Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid), not otherwise specified, 500 mg",N,384,128,506,5236,403058,254.8775141,63.7218645,50.79103655,49.79477889
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J2260,"Injection, milrinone lactate, 5 mg",N,1516,326,2150,46902,2630047,85.32031009,1.905615508,1.512370467,1.482556855
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J2270,"Injection, morphine sulfate, up to 10 mg",N,10,9,,22,3779,6.735369145,3.026991268,2.421590368,2.373151627
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",N,1,1,,11,28860,23.43627408,0.975214137,0.780171518,0.772822592
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",N,36,19,72,89,1454,25.46158184,5.576753783,4.434188446,4.35565337
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J3010,"Injection, fentanyl citrate, 0.1 mg",N,5,3,,70,27920,4.038053725,0.64036712,0.512289756,0.50204298
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J3285,"Injection, treprostinil, 1 mg",N,423,33,1073,12449,2529492,118.3874972,61.79596685,49.30704741,48.33561628
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7340,"Carbidopa 5 mg/levodopa 20 mg enteral suspension, 100 ml",N,407,26,832,8227,266094,335.3178891,212.2821452,168.9200359,165.6255413
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7500,"Azathioprine, oral, 50 mg",N,2806,2644,4763,36975,1942139,2.765356455,1.639633554,1.268621932,1.248373309
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7502,"Cyclosporine, oral, 100 mg",N,2432,1604,2985,21975,1352428,7.352001992,1.978675257,1.517682916,1.502924969
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",N,3328,1988,14043,144660,71703656,1.842264814,1.444566149,1.139642933,1.125407114
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7507,"Tacrolimus, immediate release, oral, 1 mg",N,16865,20415,80880,754806,92468336,4.246099876,0.549888658,0.41757195,0.412592757
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",N,520,352,722,7432,8815770,0.645599503,0.483742194,0.378682434,0.373817912
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7509,"Methylprednisolone oral, per 4 mg",N,126,107,124,895,29370,1.59175383,0.296586653,0.221421859,0.217057542
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7510,"Prednisolone oral, per 5 mg",N,169,69,522,4126,134437,0.53283724,0.105776535,0.082651651,0.080996601
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7512,"Prednisone, immediate release or delayed release, oral, 1 mg",N,10982,10150,50578,375134,68067907,0.12763469,0.013984486,0.010765506,0.010571133
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7515,"Cyclosporine, oral, 25 mg",N,4381,3549,7037,59356,8734367,2.0491445,0.663794143,0.507030613,0.500082427
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7517,"Mycophenolate mofetil, oral, 250 mg",N,11439,14022,50086,403795,61951722,3.770969216,0.38293184,0.287306284,0.283997
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7518,"Mycophenolic acid, oral, 180 mg",N,7453,8312,32965,269529,42209659,4.61028825,1.817588994,1.404429194,1.394394892
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J7520,"Sirolimus, oral, 1 mg",N,3788,3522,6633,55140,2577902,18.25154697,5.77736753,4.463988127,4.433265659
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J8501,"Aprepitant, oral, 5 mg",N,16,11,27,61,2720,32.01791544,4.533231618,3.5780625,3.508231618
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J8540,"Dexamethasone, oral, 0.25 mg",N,53,20,90,488,26536,0.150337655,0.086033313,0.066720305,0.065445056
National,,National,Drugs and Nutritional Products,O1E,Other drugs,J8655,"Netupitant 300 mg and palonosetron 0.5 mg, oral",N,14,6,16,75,75,814.5792,302.8274667,240.0308,235.2942667
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q0510,"Pharmacy supply fee for initial immunosuppressive drug(s), first month following transplant",N,3892,2630,11931,11960,11963,50.33007607,49.9702165,38.73688038,37.97026164
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q0511,"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for the first prescription in a 30-day period",N,30809,24626,135917,943790,943871,24.27944516,23.99915672,18.55220341,18.1890577
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q0512,"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for a subsequent prescription in a 30-day period",N,29059,22435,120108,1250219,1379443,16.65616754,15.99793395,12.44706885,12.19688891
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q0513,Pharmacy dispensing fee for inhalation drug(s); per 30 days,N,141419,40171,455840,1936373,1942194,72.39984084,32.91378202,24.46129721,23.97973007
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q0514,Pharmacy dispensing fee for inhalation drug(s); per 90 days,N,31345,20062,54157,86634,86684,67.1299054,65.99630451,50.13743459,49.16391722
National,,National,Drugs and Nutritional Products,O1E,Other drugs,Q2052,"Services, supplies and accessories used in the home under the medicare intravenous immune globulin (ivig) demonstration",N,1102,226,1773,18471,19888,765.207596,381.4943996,305.0976916,299.0527192
National,,National,Drugs and Nutritional Products,O1G,Immunizations/Vaccinations,J7527,"Everolimus, oral, 0.25 mg",N,1470,975,2513,20788,5900960,11.97495134,6.372954721,4.989845352,4.982712848
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,A4614,"Peak expiratory flow rate meter, hand held",N,177,133,227,228,228,37.71140351,26.39008772,18.99192983,19.66241228
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,E0639,"Patient lift, moveable from room to room with disassembly and reassembly, includes all components/accessories",Y,21,15,21,126,128,863.6060156,101.8133594,78.323125,80.60304688
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,E0640,"Patient lift, fixed system, includes all components/accessories",Y,10,8,,50,50,1069.3566,95.4674,72.9568,78.666
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,G0068,"Professional services for the administration of anti-infective, pain management, chelation, pulmonary hypertension, inotropic, or other intravenous infusion drug or biological (excluding chemotherapy or other highly complex drug or biological) for each infusion drug administration calendar day in the individual's home, each 15 minutes",N,18,5,19,19,191,150.9751833,32.56963351,26.0552356,25.53455497
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,G0069,"Professional services for the administration of subcutaneous immunotherapy or other subcutaneous infusion drug or biological for each infusion drug administration calendar day in the individual's home, each 15 minutes",N,67,12,73,73,724,93.05393646,29.96464088,23.97171271,23.4919337
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,K1014,"Addition, endoskeletal knee-shin system, 4 bar linkage or multiaxial, fluid swing and stance phase control",N,11,10,11,11,11,4297.396364,4158.807273,3327.044546,3265.000909
National,,National,Drugs and Nutritional Products,ZZZ,Unknown,L3677,"Shoulder orthosis, shoulder joint design, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",N,15,13,80,85,85,115.9285882,82.23705882,63.19529412,61.93482353
National,,National,Durable Medical Equipment,D1A,Medical/surgical supplies,A4320,"Irrigation tray with bulb or piston syringe, any purpose",N,2219,403,2953,10636,59334,6.960973978,5.788624903,4.341199987,4.582943506
